Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debts,Free Cash Flow,Beta,P/E Ratio
AAPL,Technology,0.1793,,,,,,
ADBE,Technology,0.175,,,,,,
BA,Industrials,0.1233,,,,,,
BYND,Consumer Defensive,-0.00069,,,,,,
CAT,Industrials,0.1906,,,,,,
DIS,Communication Services,0.517,,,,,,
DOCU,Technology,0.56,,,,,,
ENPH,Technology,0.4167,,,,,,
ETSY,Consumer Cyclical,0.528,,,,,,
FB,Communication Services,0.237,,,,,,
GS,Financial,0.168,,,,,,
HD,Consumer Cyclical,0.1057,,,,,,
JPM,Financial,0.0128,,,,,,
LMT,Industrials,0.0511,,,,,,
MCD,Consumer Cyclical,0.2043,,,,,,
MSFT,Technology,0.1673,,,,,,
NKE,Consumer Cyclical,0.406,,,,,,
NVAX,Healthcare,0,,,,,,
NVDA,Technology,0.2684,,,,,,
PYPL,Financial,0.2352,,,,,,
QCOM,Technology,0.2729,,,,,,
SPOT,Communication Services,,,,,,,
SPY,,,,,,,,
SQ,Technology,0.5641,,,,,,
TGT,Consumer Defensive,0.1145,,,,,,
TQQQ,,,,,,,,
UNP,Industrials,0.1323,,,,,,
V,Financial,0.1884,,,,,,
XOM,Energy,0.1014,,,,,,
ZM,Communication Services,0.1538,,,,,,
