Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debt,Free Cash Flow,Beta,P/E Ratio
AAPL,Technology,17.93%,2207268995072.0,323888000000,113896000000,73365000000,1.208152,29.730278
ADBE,Technology,17.50%,271255437312.0,24284000000,5500000000,5308000000,0.947826,49.183567
BA,Industrials,12.33%,143392489472.0,152136000000,75087000000,-19713000000,1.627717,
BYND,Consumer Defensive,-6.90%,9266866176.0,468006000,,-115461000,1.61423,
CAT,Industrials,19.06%,117067563008.0,78324000000,25674000000,4212000000,0.916304,34.17173
DIS,Communication Services,51.70%,315620032512.0,201549000000,62337000000,3596000000,1.196195,
DOCU,Technology,56.00%,53080850432.0,2336507000,972773000,214559000,0.817375,
ENPH,Technology,41.67%,22388979712.0,1200102000,401907000,195776000,1.145108,245.15604
ETSY,Consumer Cyclical,52.80%,21767659520.0,2404489000,1198042000,676631000,1.548913,48.63959
FB,Communication Services,23.70%,938480631808.0,159316000000,,23632000000,1.3,28.359182
GS,Financial,16.80%,121040175104.0,1163028000000,514604000000,-20037000000,1.494021,8.849171
HD,Consumer Cyclical,10.57%,326909919232.0,70581000000,41563000000,16376000000,1.048913,22.412888
JPM,Financial,1.28%,454220873728.0,3386071000000,783300000000,,1.191847,11.902118
LMT,Industrials,5.11%,106429267968.0,50710000000,15606000000,6417000000,0.980978,15.451317
MCD,Consumer Cyclical,20.43%,173649625088.0,52626800000,39813100000,4624400000,0.627717,33.771587
MSFT,Technology,16.73%,1977790365696.0,301311000000,73357000000,45234000000,0.78913,35.78632
NKE,Consumer Cyclical,40.60%,206138687488.0,31342000000,12983000000,1399000000,0.853804,60.995796
NVAX,Healthcare,0.00%,13266603008.0,1582479000,574147000,-97163000,1.554891,
NVDA,Technology,26.84%,452762140672.0,28791000000,7481000000,4694000000,1.366847,85.90366
PYPL,Financial,23.52%,333247381504.0,70379000000,11068000000,4988000000,1.157065,64.64904
QCOM,Technology,27.29%,150960242688.0,35594000000,18648000000,4407000000,1.341304,19.165115
SPOT,Communication Services,,46898466816.0,6326000000,,181000000,1.518669,
SPY,,,386101706752.0,,,,,
SQ,Technology,56.41%,101725765632.0,9869550000,3230475000,243201000,2.416304,327.73148
TGT,Consumer Defensive,11.45%,115760472064.0,51248000000,14153000000,7876000000,1.003804,19.104343
TQQQ,,,,,,,,
UNP,Industrials,13.23%,144911056896.0,62398000000,27654000000,5613000000,1.148372,28.230877
V,Financial,18.84%,515194617856.0,80919000000,26494000000,9704000000,0.977937,48.396034
XOM,Energy,10.14%,263621296128.0,332750000000,70540000000,-2614000000,1.413678,
ZM,Communication Services,15.38%,108727631872.0,5297993000,,1391205000,-1.475069,164.37921
